point_id,latitude,longitude,elevation_m,elevation_smoothed_m,distance_from_start_m,segment_length_m,elevation_delta_m,slope_pct,slope_deg,slope_smoothed_pct,bearing_deg
0,43.115715,131.885561,5.5,12.865,0,,,,,,
1,43.11611187,131.88563185,15.672,14.745,50,50,10.172,20.34441,11.49955,3.75958,7.425
2,43.11654712,131.88578654,17.423,16.538,100,50,1.75,3.50092,2.00506,3.58659,14.544
3,43.11698224,131.8859419,20.384,20.438,150,50,2.961,5.92291,3.38962,7.8,14.608
4,43.11741743,131.88609694,23.711,22.578,200,50,3.327,6.6542,3.80696,4.2801,14.577
5,43.11785248,131.88625269,25.0,24.83,250,50,1.289,2.57756,1.47651,4.5038,14.645
6,43.11828757,131.88640823,26.372,27.018,300,50,1.372,2.7449,1.57231,4.37636,14.625
7,43.11872272,131.88656344,28.682,28.676,350,50,2.31,4.61946,2.64487,3.31551,14.594
8,43.11915783,131.88671891,31.325,30.552,400,50,2.643,5.28566,3.02565,3.75298,14.618
9,43.11959299,131.88687407,32.0,33.044,450,50,0.675,1.34998,0.77344,4.98252,14.588
10,43.12002818,131.88702909,34.382,36.236,500,50,2.382,4.76488,2.72801,6.3853,14.575
11,43.12046336,131.88718415,38.829,39.767,550,50,4.446,8.89261,5.08172,7.06049,14.579
12,43.12089853,131.88733928,44.645,44.004,600,50,5.817,11.63336,6.63559,8.47574,14.585
13,43.12133364,131.88749476,48.976,48.407,650,50,4.331,8.66164,4.9504,8.80426,14.619
14,43.12176874,131.88765026,53.189,52.156,700,50,4.213,8.42622,4.81649,7.4981,14.621
15,43.122203,131.88780995,56.393,54.978,750,50,3.204,6.40749,3.66621,5.64379,15.024
16,43.12263561,131.88797803,57.574,56.741,800,50,1.181,2.36179,1.35295,3.52784,15.833
17,43.12306821,131.88814611,58.755,57.504,850,50,1.181,2.36179,1.35295,1.52426,15.833
18,43.12350059,131.88831526,57.796,57.025,900,50,-0.959,-1.91811,-1.09886,-0.95724,15.936
19,43.12393296,131.88848442,57.0,56.763,950,50,-0.796,-1.59167,-0.91188,-0.52298,15.936
20,43.12436578,131.88864917,54.0,56.652,1000,50,-3.0,-6.0,-3.43363,-0.22195,15.526
21,43.12479835,131.88881439,56.267,56.707,1050,50,2.267,4.53308,2.59549,0.10866,15.578
22,43.12517851,131.88911241,58.2,56.944,1100,50,1.933,3.86692,2.21448,0.47378,29.777
23,43.12535675,131.88967506,58.067,57.442,1150,50,-0.133,-0.26503,-0.15185,0.99741,66.537
24,43.12551054,131.89025399,58.184,56.205,1200,50,0.117,0.23391,0.13402,-2.47479,69.999
25,43.12581914,131.89067833,56.494,53.599,1250,50,-1.691,-3.38185,-1.93692,-5.2128,45.103
26,43.12620077,131.89100416,50.08,50.078,1300,50,-6.414,-12.82792,-7.30994,-7.04101,31.928
27,43.12658449,131.89132532,45.168,45.412,1350,50,-4.912,-9.82313,-5.61024,-9.33123,31.419
28,43.12696897,131.89164482,40.465,40.114,1400,50,-4.703,-9.40603,-5.37345,-10.59741,31.236
29,43.12735647,131.89195737,34.856,35.9,1450,50,-5.609,-11.21721,-6.40024,-8.4273,30.484
30,43.12775066,131.89224718,30.0,31.867,1500,50,-4.856,-9.71273,-5.54759,-8.0672,28.217
31,43.12819062,131.89237045,29.011,28.67,1550,50,-0.989,-1.97741,-1.13283,-6.39312,11.556
32,43.1286374,131.89244006,25.0,26.046,1600,50,-4.011,-8.02259,-4.58678,-5.24733,6.488
33,43.12908441,131.89250691,24.482,23.865,1650,50,-0.518,-1.03565,-0.59336,-4.36234,6.229
34,43.1295317,131.89257002,21.738,23.372,1700,50,-2.744,-5.48828,-3.1414,-0.98549,5.88
35,43.129979,131.89263309,19.094,24.968,1750,50,-2.644,-5.28776,-3.02684,3.1918,5.875
36,43.1303105,131.89296469,26.548,27.954,1800,50,7.453,14.90681,8.47854,5.9717,36.129
37,43.13051376,131.89351429,32.979,32.427,1850,50,6.432,12.86387,7.3302,8.94483,63.127
38,43.130717,131.8940639,39.411,37.642,1900,50,6.432,12.86387,7.3302,10.43147,63.127
39,43.13092272,131.89461175,44.1,41.26,1950,50,4.689,9.37735,5.35716,7.23584,62.773
40,43.13113405,131.89515562,45.173,42.528,2000,50,1.073,2.14543,1.22905,2.53523,61.968
41,43.13134548,131.89569941,44.637,43.702,2050,50,-0.536,-1.07133,-0.6138,2.34883,61.952
42,43.13155725,131.89624295,39.318,45.099,2100,50,-5.32,-10.63917,-6.07295,2.79433,61.904
43,43.13176854,131.89678684,45.284,46.618,2150,50,5.966,11.93186,6.80428,3.03622,61.972
44,43.13197985,131.89733073,51.086,47.554,2200,50,5.802,11.60485,6.61948,1.87243,61.97
45,43.13219155,131.89787433,52.763,50.214,2250,50,1.677,3.3549,1.92149,5.32045,61.913
46,43.13240343,131.8984178,49.318,52.478,2300,50,-3.445,-6.8903,-3.94162,4.52886,61.888
47,43.13262324,131.89895531,52.619,53.818,2350,50,3.3,6.60091,3.77657,2.67937,60.736
48,43.13284385,131.89949223,56.606,54.665,2400,50,3.987,7.97392,4.55907,1.69465,60.619
49,43.13282257,131.90000578,57.784,56.202,2450,50,1.179,2.35741,1.35044,3.07271,93.249
50,43.13305751,131.90038867,57.0,57.015,2500,50,-0.784,-1.56869,-0.89872,1.62577,49.943
51,43.1330927,131.9010029,57.0,56.723,2550,50,0.0,0.0,0.0,-0.5839,85.511
